Landmark,Frame,X,Y
415,4.0,418,291
415,5.0,418,292
415,6.0,418,292
415,7.0,417,291
415,8.0,417,293
415,9.0,418,293
415,10.0,418,293
415,11.0,419,294
415,12.0,419,294
415,13.0,421,292
415,14.0,420,292
415,15.0,421,290
415,16.0,420,290
415,17.0,422,288
415,18.0,421,288
415,19.0,422,287
415,20.0,422,287
415,21.0,422,287
415,22.0,422,287
415,23.0,421,287
415,24.0,421,287
415,25.0,418,287
415,26.0,418,287
415,27.0,417,287
415,28.0,417,287
415,29.0,417,288
308,1.0,425,297
308,2.0,424,298
308,3.0,424,297
308,4.0,424,297
308,5.0,424,297
308,6.0,424,297
308,7.0,424,298
308,8.0,424,299
308,9.0,424,299
308,10.0,424,299
308,11.0,425,299
308,12.0,426,299
308,13.0,427,297
308,14.0,426,297
308,15.0,427,295
308,16.0,426,295
308,17.0,428,293
308,18.0,427,293
308,19.0,428,292
308,20.0,428,292
308,21.0,428,292
308,22.0,428,292
308,23.0,427,292
308,24.0,427,292
308,25.0,424,292
308,26.0,423,291
308,27.0,423,291
308,28.0,422,291
308,29.0,423,291
